,movieId,title,genres
924,1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
2283,3030,Yojimbo (1961),Action|Adventure
841,1104,"Streetcar Named Desire, A (1951)",Drama
659,858,"Godfather, The (1972)",Crime|Drama
9618,177593,"Three Billboards Outside Ebbing, Missouri (2017)",Crime|Drama
2568,3435,Double Indemnity (1944),Crime|Drama|Film-Noir
7858,93838,The Raid: Redemption (2011),Action|Crime
602,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
731,951,His Girl Friday (1940),Comedy|Romance
585,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
